Industry,Activity,Location,Website / Link,Linkedin Page,Size of the Company,JOB Position,Certification,Accroche,Opportunity Status,number of contact iteration
chemicals,plastics,Mahdia,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,5
chemicals,plastics,Mahdia,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,6
chemicals,plastics,Mahdia,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,4
chemicals,plastics,Sousse,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,6
chemicals,plastics,,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,5
chemicals,plastics,Kairouan,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,3
chemicals,car manufacturing,Kairouan,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,4
chemicals,packaging,Monastir,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,6
chemicals,packaging,Monastir,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,5
chemicals,packaging,Monastir,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,3
chemicals,packaging,Monastir,yes,yes,more than 500,le Directeur d'Usine,yes,LinkedIn,yes,4
chemicals,packaging,Sousse,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,5
chemicals,packaging,Sousse,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,5
chemicals,packaging,Monastir,yes,yes,more than 500,le Directeur d'Usine,yes,LinkedIn,yes,3
chemicals,plastics,Kairouan,yes,yes,100-200,Directeur générale,yes,LinkedIn,yes,4
chemicals,plastics,,yes,yes,100-200,Directeur générale,yes,LinkedIn,yes,6
chemicals,plastics,Mahdia,yes,yes,200-300,Directeur générale,yes,LinkedIn,yes,7
chemicals,plastics,Mahdia,yes,yes,more than 500,Directeur générale,yes,LinkedIn,yes,5
chemicals,plastics,Monastir,yes,yes,200-300,Directeur générale,yes,LinkedIn,yes,5
chemicals,plastics,Mahdia,yes,yes,200-300,Directeur générale,yes,LinkedIn,yes,3
chemicals,packaging,Mahdia,yes,yes,100-200,Directeur générale,yes,LinkedIn,yes,4
chemicals,plastics,Monastir,yes,yes,100-200,Directeur générale,yes,LinkedIn,yes,6
chemicals,pharmaceutical,Monastir,yes,yes,more than 500,Directeur générale,yes,LinkedIn,yes,7
chemicals,packaging,Monastir,yes,yes,200-300,supply chain manager,yes,LinkedIn,yes,8
chemicals,pharmaceutical,Kairouan,yes,yes,100-200,supply chain manager,yes,LinkedIn,yes,6
chemicals,pharmaceutical,Kairouan,yes,yes,100-200,supply chain manager,yes,LinkedIn,yes,6
chemicals,plastics,Mahdia,yes,yes,100-200,supply chain manager,yes,LinkedIn,yes,4
chemicals,plastics,Sousse,yes,yes,100-200,supply chain manager,yes,LinkedIn,yes,5
chemicals,plastics,Monastir,yes,yes,100-200,supply chain manager,yes,LinkedIn,yes,8
chemicals,pharmaceutical,Mahdia,yes,yes,200-300,supply chain manager,yes,LinkedIn,yes,9
chemicals,pharmaceutical,Monastir,yes,yes,200-300,supply chain manager,yes,LinkedIn,yes,6
chemicals,pharmaceutical,Mahdia,yes,yes,200-300,supply chain manager,yes,LinkedIn,yes,3
chemicals,pharmaceutical,Kairouan,yes,yes,100-200,supply chain manager,yes,LinkedIn,yes,4
chemicals,pharmaceutical,Monastir,yes,yes,200-300,supply chain manager,yes,LinkedIn,yes,5
chemicals,pharmaceutical,Monastir,yes,yes,200-300,supply chain manager,yes,LinkedIn,yes,6
chemicals,pharmaceutical,Monastir,yes,yes,more than 500,supply chain manager,yes,LinkedIn,yes,4
chemicals,pharmaceutical,Kairouan,yes,yes,100-200,supply chain manager,yes,LinkedIn,yes,6
chemicals,pharmaceutical,Kairouan,yes,yes,100-200,supply chain manager,yes,LinkedIn,yes,5
chemicals,pharmaceutical,Sousse,yes,yes,100-200,logistics manager,yes,LinkedIn,yes,
chemicals,pharmaceutical,Sousse,yes,yes,100-200,logistics manager,yes,LinkedIn,yes,
chemicals,pharmaceutical,Sousse,yes,yes,100-200,logistics manager,yes,LinkedIn,yes,
chemicals,pharmaceutical,Kairouan,yes,yes,200-300,logistics manager,yes,LinkedIn,yes,3
chemicals,pharmaceutical,Kairouan,yes,yes,200-300,logistics manager,yes,LinkedIn,yes,4
chemicals,pharmaceutical,Kairouan,yes,yes,200-300,logistics manager,yes,LinkedIn,yes,5
chemicals,plastics,Sousse,yes,yes,200-300,logistics manager,yes,LinkedIn,yes,5
chemicals,plastics,Sousse,yes,yes,200-300,logistics manager,yes,LinkedIn,yes,3
Agri-food,Oils and Fats,Sousse,yes,yes,200-300,supply chain manager,yes,LinkedIn,yes,4
chemicals,pharmaceutical,Sousse,yes,yes,200-300,supply chain manager,yes,LinkedIn,yes,6
chemicals,packaging,Monastir,yes,yes,100-200,supply chain manager,yes,LinkedIn,yes,7
chemicals,packaging,Sousse,yes,yes,100-200,supply chain manager,yes,LinkedIn,yes,5
chemicals,plastics,Ben Arous,yes,yes,200-300,supply chain manager,yes,LinkedIn,yes,5
chemicals,plastics,Ben Arous,yes,yes,200-300,supply chain manager,yes,LinkedIn,yes,3
chemicals,plastics,Kairouan,yes,yes,200-300,supply chain manager,yes,LinkedIn,yes,4
chemicals,plastics,Kairouan,yes,yes,100-200,supply chain manager,yes,LinkedIn,yes,6
chemicals,plastics,,yes,yes,100-200,supply chain manager,yes,LinkedIn,yes,7
chemicals,plastics,Kairouan,yes,yes,100-200,supply chain manager,yes,LinkedIn,yes,8
chemicals,plastics,Monastir,yes,yes,100-200,logistics manager,yes,LinkedIn,yes,6
chemicals,packaging,Monastir,yes,yes,100-200,logistics manager,yes,LinkedIn,yes,6
chemicals,pharmaceutical,Kairouan,yes,yes,100-200,logistics manager,yes,LinkedIn,yes,4
chemicals,pharmaceutical,Sousse,yes,yes,200-300,supply chain manager,yes,LinkedIn,yes,5
chemicals,plastics,Mahdia,yes,yes,200-300,supply chain manager,yes,LinkedIn,yes,8
chemicals,plastics,Sousse,yes,yes,200-300,supply chain manager,yes,LinkedIn,yes,9
chemicals,plastics,Sousse,yes,yes,200-300,supply chain manager,yes,LinkedIn,yes,6
chemicals,plastics,Kairouan,yes,yes,200-300,supply chain manager,yes,LinkedIn,yes,3
chemicals,plastics,Mahdia,yes,yes,200-300,supply chain manager,yes,LinkedIn,yes,4
chemicals,plastics,Sousse,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,5
chemicals,plastics,Mahdia,yes,yes,200-300,Directeur générale,yes,LinkedIn,yes,6
chemicals,plastics,Mahdia,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,4
chemicals,plastics,Monastir,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,6
chemicals,plastics,Kairouan,yes,yes,100-200,Directeur générale,yes,LinkedIn,yes,5
chemicals,plastics,Monastir,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,
chemicals,packaging,Monastir,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,3
chemicals,packaging,Monastir,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,4
chemicals,plastics,Mahdia,yes,yes,100-200,logistics manager,yes,LinkedIn,yes,5
chemicals,plastics,Monastir,yes,yes,100-200,logistics manager,yes,LinkedIn,yes,5
chemicals,plastics,Monastir,yes,yes,100-200,supply chain manager,yes,LinkedIn,yes,3
chemicals,plastics,Mahdia,yes,yes,100-200,supply chain manager,yes,LinkedIn,yes,4
chemicals,plastics,Mahdia,yes,yes,100-200,supply chain manager,yes,LinkedIn,yes,6
chemicals,pharmaceutical,Monastir,yes,yes,100-200,supply chain manager,yes,LinkedIn,yes,7
chemicals,car manufacturing,Monastir,yes,yes,200-300,supply chain manager,yes,LinkedIn,yes,5
chemicals,pharmaceutical,Kairouan,yes,yes,200-300,supply chain manager,yes,E-mail,yes,5
chemicals,packaging,Mahdia,yes,yes,200-300,Directeur générale,yes,E-mail,yes,3
chemicals,packaging,Sousse,yes,yes,200-300,le Directeur d'Usine,yes,E-mail,yes,4
chemicals,plastics,Sousse,yes,yes,200-300,logistics manager,yes,E-mail,yes,6
chemicals,plastics,Monastir,yes,yes,200-300,logistics manager,yes,E-mail,yes,7
chemicals,plastics,Monastir,yes,yes,200-300,,yes,E-mail,yes,8
Agri-food,Canned and Preserved Foods,Monastir,yes,yes,100-200,le Directeur d'Usine,yes,E-mail,yes,6
Agri-food,Biscuits and Confectioneries,Sousse,yes,yes,100-200,le Directeur d'Usine,yes,Partner,yes,6
Agri-food,Healthy Snacks and Natural Products,Sousse,yes,yes,200-300,le Directeur d'Usine,yes,Partner,yes,4
Agri-food,Healthy Snacks and Natural Products,Mahdia,yes,yes,200-300,le Directeur d'Usine,yes,Partner,yes,5
Agri-food,Dairy and Dairy Derivatives,Kairouan,yes,yes,200-300,le Directeur d'Usine,yes,Partner,yes,8
Agri-food,Canned and Preserved Foods,Monastir,yes,yes,100-200,le Directeur d'Usine,yes,Partner,yes,9
Agri-food,Cereals and Derivatives,Mahdia,yes,yes,100-200,le Directeur d'Usine,yes,Partner,yes,6
Agri-food,car manufacturing,Kairouan,yes,yes,100-200,le Directeur d'Usine,yes,Partner,yes,3
Agri-food,Beverages,Monastir,yes,yes,100-200,le Directeur d'Usine,yes,Partner,yes,4
Agri-food,Canned and Preserved Foods,Monastir,yes,yes,100-200,le Directeur d'Usine,yes,Partner,yes,5
chemicals,Canned and Preserved Foods,Nabeul,yes,yes,100-200,Directeur générale,yes,Partner,yes,6
chemicals,pharmaceutical,Nabeul,yes,yes,200-300,Directeur générale,yes,Partner,yes,4
chemicals,plastics,Nabeul,yes,yes,200-300,le Directeur d'Usine,yes,Event,yes,6
chemicals,plastics,Nabeul,yes,yes,200-300,le Directeur d'Usine,yes,Event,yes,5
chemicals,Oils and Fats,Nabeul,yes,yes,200-300,le Directeur d'Usine,yes,Event,yes,4
chemicals,pharmaceutical,Nabeul,yes,yes,200-300,le Directeur d'Usine,yes,Event,yes,5
chemicals,packaging,Nabeul,yes,yes,200-300,le Directeur d'Usine,yes,Event,yes,5
chemicals,packaging,Monastir,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,3
chemicals,plastics,Monastir,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,4
chemicals,plastics,Mahdia,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,6
chemicals,plastics,Sousse,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,7
chemicals,plastics,Mahdia,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,5
chemicals,plastics,Sousse,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,5
chemicals,plastics,Monastir,yes,yes,100-200,le Directeur d'Usine,yes,Event,yes,3
chemicals,plastics,Kairouan,yes,yes,100-200,le Directeur d'Usine,yes,Event,yes,4
chemicals,packaging,Monastir,yes,yes,100-200,supply chain manager,yes,Event,yes,6
chemicals,pharmaceutical,Monastir,yes,yes,100-200,supply chain manager,yes,Event,yes,7
chemicals,pharmaceutical,Monastir,yes,yes,100-200,supply chain manager,yes,Event,yes,8
chemicals,plastics,Monastir,yes,yes,100-200,supply chain manager,yes,Event,yes,6
chemicals,plastics,Monastir,yes,yes,200-300,supply chain manager,yes,Event,yes,6
chemicals,plastics,Monastir,yes,yes,200-300,supply chain manager,yes,LinkedIn,yes,4
chemicals,plastics,Sousse,yes,yes,200-300,supply chain manager,yes,LinkedIn,yes,5
chemicals,plastics,Mahdia,yes,yes,200-300,logistics manager,yes,LinkedIn,yes,3
chemicals,plastics,Kairouan,yes,yes,200-300,logistics manager,yes,LinkedIn,yes,4
chemicals,plastics,Mahdia,yes,yes,200-300,logistics manager,yes,LinkedIn,yes,5
chemicals,plastics,,yes,yes,200-300,logistics manager,yes,LinkedIn,yes,5
chemicals,plastics,Sousse,yes,yes,100-200,logistics manager,yes,LinkedIn,yes,3
chemicals,plastics,Monastir,yes,yes,100-200,logistics manager,yes,LinkedIn,yes,4
chemicals,plastics,Mahdia,yes,yes,200-300,logistics manager,yes,LinkedIn,yes,6
chemicals,packaging,Sousse,yes,yes,200-300,logistics manager,yes,Event,yes,7
chemicals,packaging,Mahdia,yes,yes,200-300,supply chain manager,yes,Event,yes,5
chemicals,plastics,Sousse,yes,yes,100-200,supply chain manager,yes,Event,yes,5
chemicals,plastics,Sousse,yes,yes,100-200,supply chain manager,yes,Event,yes,3
chemicals,plastics,Monastir,yes,yes,100-200,supply chain manager,yes,Event,yes,4
chemicals,plastics,Monastir,yes,yes,100-200,Directeur générale,yes,Event,yes,6
chemicals,plastics,Monastir,yes,yes,100-200,Directeur générale,yes,Event,yes,7
Agri-food,pharmaceutical,Mahdia,yes,yes,100-200,Directeur générale,yes,Event,yes,8
chemicals,car manufacturing,Mahdia,yes,yes,200-300,Directeur générale,yes,LinkedIn,yes,6
chemicals,pharmaceutical,Monastir,yes,yes,200-300,Directeur générale,yes,LinkedIn,yes,6
chemicals,packaging,Sousse,yes,yes,200-300,Directeur générale,yes,LinkedIn,yes,4
chemicals,packaging,Sousse,yes,yes,200-300,Directeur générale,yes,LinkedIn,yes,5
chemicals,plastics,Mahdia,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,8
